time,timestamp,position,velocity,acceleration,jerk,yaw,yawspeed
2024/03/05 02:10:21.147198870,1709604621146939,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.155749200,1709604621155517,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.163319294,1709604621163056,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.171635006,1709604621171154,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.179313477,1709604621179046,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.187141947,1709604621186965,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.195204611,1709604621194899,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.204061210,1709604621203838,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.211135583,1709604621210909,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.220267613,1709604621219931,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.227554455,1709604621227221,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.235049141,1709604621234805,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.243538616,1709604621243224,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.250805959,1709604621250683,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.259339997,1709604621259083,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.267105951,1709604621266901,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.275856930,1709604621275471,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.283888122,1709604621283510,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.291975925,1709604621291390,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.299046148,1709604621298850,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.308891104,1709604621307639,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.315329469,1709604621315096,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.330831632,1709604621330371,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.335624285,1709604621335333,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.341072659,1709604621340467,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.347738552,1709604621347497,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.357748259,1709604621357474,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.364049938,1709604621363713,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.371296461,1709604621371074,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.380176882,1709604621379905,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.391028909,1709604621390303,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.396366039,1709604621395830,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.405452960,1709604621404141,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.412879191,1709604621412626,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.421230541,1709604621419876,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.428807480,1709604621428419,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.436647137,1709604621436466,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.443092430,1709604621442931,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.451048819,1709604621450864,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.460508659,1709604621460127,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.468369746,1709604621467994,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.476286386,1709604621475823,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.484024095,1709604621483737,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.493649434,1709604621493368,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.499534574,1709604621499157,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.508308274,1709604621507711,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.516191042,1709604621515906,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.524740207,1709604621524288,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.532454188,1709604621531859,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.542326919,1709604621541967,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.555130827,1709604621553691,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.567116684,1709604621566300,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.579849203,1709604621579180,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.589416511,1709604621584204,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.590084331,1709604621589659,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.597816097,1709604621596909,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.605686009,1709604621605201,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.611861562,1709604621611353,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.621682017,1709604621621412,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.627635256,1709604621627365,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.636523250,1709604621636168,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.646133573,1709604621645233,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.651744998,1709604621651340,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.661612744,1709604621661174,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.671317038,1709604621669301,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.677778233,1709604621677026,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.686303965,1709604621685124,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.694719646,1709604621693720,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
