timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
267867245,0,1,1,0,0,1,1,0,1,1,1,1,0
268368470,0,1,1,0,0,1,1,0,1,1,1,1,0
274243602,1,1,1,0,0,1,1,0,1,1,1,1,0
274753615,1,1,1,0,0,1,1,0,1,1,1,1,0
275254883,1,1,1,0,0,1,1,0,1,1,1,1,0
275757725,1,1,1,0,0,1,1,0,1,1,1,1,0
276262935,1,1,1,0,0,1,1,0,1,1,1,1,0
276763359,1,1,1,0,0,1,1,0,1,1,1,1,0
277272965,1,1,1,0,0,1,1,0,1,1,1,1,0
277774740,1,1,1,0,0,1,1,0,1,1,1,1,0
278277106,1,1,1,0,0,1,1,0,1,1,1,1,0
278777811,1,1,1,0,0,1,1,0,1,1,1,1,0
279279447,1,1,1,0,0,1,1,0,1,1,1,1,0
279783012,1,1,1,0,0,1,1,0,1,1,1,1,0
280285511,1,1,1,0,0,1,1,0,1,1,1,1,0
280796013,1,1,1,0,0,1,1,0,1,1,1,1,0
281297786,1,1,1,0,0,1,1,0,1,1,1,1,0
281798280,1,1,1,0,0,1,1,0,1,1,1,1,0
282301190,1,1,1,0,0,1,1,0,1,1,1,1,0
282802217,1,1,1,0,0,1,1,0,1,1,1,1,0
283303280,1,1,1,0,0,1,1,0,1,1,1,1,0
283804258,1,1,1,0,0,1,1,0,1,1,1,1,0
284305897,1,1,1,0,0,1,1,0,1,1,1,1,0
284806386,1,1,1,0,0,1,1,0,1,1,1,1,0
285307881,1,1,1,0,0,1,1,0,1,1,1,1,0
285811061,1,1,1,0,0,1,1,0,1,1,1,1,0
286312839,1,1,1,0,0,1,1,0,1,1,1,1,0
286814109,1,1,1,0,0,1,1,0,1,1,1,1,0
287317644,1,1,1,0,0,1,1,0,1,1,1,1,0
287820388,1,1,1,0,0,1,1,0,1,1,1,1,0
288323618,1,1,1,0,0,1,1,0,1,1,1,1,0
288825617,1,1,1,0,0,1,1,0,1,1,1,1,0
289328066,1,1,1,0,0,1,1,0,1,1,1,1,0
289830145,1,1,1,0,0,1,1,0,1,1,1,1,0
290335781,1,1,1,0,0,1,1,0,1,1,1,1,0
290845470,1,1,1,0,0,1,1,0,1,1,1,1,0
291347098,1,1,1,0,0,1,1,0,1,1,1,1,0
291847975,1,1,1,0,0,1,1,0,1,1,1,1,0
292348937,1,1,1,0,0,1,1,0,1,1,1,1,0
292858881,1,1,1,0,0,1,1,0,1,1,1,1,0
293363483,1,1,1,0,0,1,1,0,1,1,1,1,0
293866276,1,1,1,0,0,1,1,0,1,1,1,1,0
294368113,1,1,1,0,0,1,1,0,1,1,1,1,0
294868906,1,1,1,0,0,1,1,0,1,1,1,1,0
295375554,1,1,1,0,0,1,1,0,1,1,1,1,0
295877446,1,1,1,0,0,1,1,0,1,1,1,1,0
296379286,1,1,1,0,0,1,1,0,1,1,1,1,0
296880757,1,1,1,0,0,1,1,0,1,1,1,1,0
297381005,1,1,1,0,0,1,1,0,1,1,1,1,0
297891056,1,1,1,0,0,1,1,0,1,1,1,1,0
298391781,1,1,1,0,0,1,1,0,1,1,1,1,0
298901086,1,1,1,0,0,1,1,0,1,1,1,1,0
299402079,1,1,1,0,0,1,1,0,1,1,1,1,0
299904575,1,1,1,0,0,1,1,0,1,1,1,1,0
300407555,1,1,1,0,0,1,1,0,1,1,1,1,0
300909804,1,1,1,0,0,1,1,0,1,1,1,1,0
301410022,1,1,1,0,0,1,1,0,1,1,1,1,0
301914546,1,1,1,0,0,1,1,0,1,1,1,1,0
302417140,1,1,1,0,0,1,1,0,1,1,1,1,0
302867843,1,1,1,0,0,1,1,0,1,1,1,1,0
303371013,1,1,1,0,0,1,1,0,1,1,1,1,0
303873594,1,1,1,0,0,1,1,0,1,1,1,1,0
304381510,1,1,1,0,0,1,1,0,1,1,1,1,0
304882438,1,1,1,0,0,1,1,0,1,1,1,1,0
305355685,1,1,0,0,1,1,1,1,1,1,1,1,0
305860196,1,1,0,0,1,1,1,1,1,1,1,1,0
306362621,1,1,0,0,1,1,1,1,1,1,1,1,0
306863808,1,1,0,0,1,1,1,1,1,1,1,1,0
307367562,1,1,0,0,1,1,1,1,1,1,1,1,0
307872516,1,1,0,0,1,1,1,1,1,1,1,1,0
308377472,1,1,0,0,1,1,1,1,1,1,1,1,0
308877933,1,1,0,0,1,1,1,1,1,1,1,1,0
309381140,1,1,0,0,1,1,1,1,1,1,1,1,0
309884762,1,1,0,0,1,1,1,1,1,1,1,1,0
310388260,1,1,0,0,1,1,1,1,1,1,1,1,0
310889465,1,1,0,0,1,1,1,1,1,1,1,1,0
311392305,1,1,0,0,1,1,1,1,1,1,1,1,0
311895656,1,1,0,0,1,1,1,1,1,1,1,1,0
312402533,1,1,0,0,1,1,1,1,1,1,1,1,0
312904151,1,1,0,0,1,1,1,1,1,1,1,1,0
313406709,1,1,0,0,1,1,1,1,1,1,1,1,0
313913400,1,1,0,0,1,1,1,1,1,1,1,1,0
314417475,1,1,0,0,1,1,1,1,1,1,1,1,0
314919514,1,1,0,0,1,1,1,1,1,1,1,1,0
315422661,1,1,0,0,1,1,1,1,1,1,1,1,0
315925477,1,1,0,0,1,1,1,1,1,1,1,1,0
316429183,1,1,0,0,1,1,1,1,1,1,1,1,0
316930932,1,1,0,0,1,1,1,1,1,1,1,1,0
317431764,1,1,0,0,1,1,1,1,1,1,1,1,0
317936759,1,1,0,0,1,1,1,1,1,1,1,1,0
318440487,1,1,0,0,1,1,1,1,1,1,1,1,0
318945657,1,1,0,0,1,1,1,1,1,1,1,1,0
319449681,1,1,0,0,1,1,1,1,1,1,1,1,0
319953417,1,1,0,0,1,1,1,1,1,1,1,1,0
320458313,1,1,0,0,1,1,1,1,1,1,1,1,0
320959582,1,1,0,0,1,1,1,1,1,1,1,1,0
321463463,1,1,0,0,1,1,1,1,1,1,1,1,0
321969629,1,1,0,0,1,1,1,1,1,1,1,1,0
322472712,1,1,0,0,1,1,1,1,1,1,1,1,0
322975400,1,1,0,0,1,1,1,1,1,1,1,1,0
323477360,1,1,0,0,1,1,1,1,1,1,1,1,0
323984921,1,1,0,0,1,1,1,1,1,1,1,1,0
324490832,1,1,0,0,1,1,1,1,1,1,1,1,0
324992520,1,1,0,0,1,1,1,1,1,1,1,1,0
325497879,1,1,0,0,1,1,1,1,1,1,1,1,0
326001489,1,1,0,0,1,1,1,1,1,1,1,1,0
326505597,1,1,0,0,1,1,1,1,1,1,1,1,0
327010792,1,1,0,0,1,1,1,1,1,1,1,1,0
327514171,1,1,0,0,1,1,1,1,1,1,1,1,0
328019009,1,1,0,0,1,1,1,1,1,1,1,1,0
328523114,1,1,0,0,1,1,1,1,1,1,1,1,0
329024827,1,1,0,0,1,1,1,1,1,1,1,1,0
329531557,1,1,0,0,1,1,1,1,1,1,1,1,0
330040446,1,1,0,0,1,1,1,1,1,1,1,1,0
330542410,1,1,0,0,1,1,1,1,1,1,1,1,0
331044498,1,1,0,0,1,1,1,1,1,1,1,1,0
331549912,1,1,0,0,1,1,1,1,1,1,1,1,0
332055153,1,1,0,0,1,1,1,1,1,1,1,1,0
332557278,1,1,0,0,1,1,1,1,1,1,1,1,0
333058224,1,1,0,0,1,1,1,1,1,1,1,1,0
333562335,1,1,0,0,1,1,1,1,1,1,1,1,0
334062889,1,1,0,0,1,1,1,1,1,1,1,1,0
334567386,1,1,0,0,1,1,1,1,1,1,1,1,0
335069090,1,1,0,0,1,1,1,1,1,1,1,1,0
335571799,1,1,0,0,1,1,1,1,1,1,1,1,0
336074850,1,1,0,0,1,1,1,1,1,1,1,1,0
336578570,1,1,0,0,1,1,1,1,1,1,1,1,0
337082317,1,1,0,0,1,1,1,1,1,1,1,1,0
337584117,1,1,0,0,1,1,1,1,1,1,1,1,0
338087654,1,1,0,0,1,1,1,1,1,1,1,1,0
338589081,1,1,0,0,1,1,1,1,1,1,1,1,0
339092215,1,1,0,0,1,1,1,1,1,1,1,1,0
339599124,1,1,0,0,1,1,1,1,1,1,1,1,0
340102108,1,1,0,0,1,1,1,1,1,1,1,1,0
340606416,1,1,0,0,1,1,1,1,1,1,1,1,0
341108391,1,1,0,0,1,1,1,1,1,1,1,1,0
341611894,1,1,0,0,1,1,1,1,1,1,1,1,0
342116908,1,1,0,0,1,1,1,1,1,1,1,1,0
342619155,1,1,0,0,1,1,1,1,1,1,1,1,0
343120670,1,1,0,0,1,1,1,1,1,1,1,1,0
343624988,1,1,0,0,1,1,1,1,1,1,1,1,0
344129133,1,1,0,0,1,1,1,1,1,1,1,1,0
344629958,1,1,0,0,1,1,1,1,1,1,1,1,0
345140214,1,1,0,0,1,1,1,1,1,1,1,1,0
345644789,1,1,0,0,1,1,1,1,1,1,1,1,0
346150225,1,1,0,0,1,1,1,1,1,1,1,1,0
346652507,1,1,0,0,1,1,1,1,1,1,1,1,0
347153969,1,1,0,0,1,1,1,1,1,1,1,1,0
347659063,1,1,0,0,1,1,1,1,1,1,1,1,0
348163616,1,1,0,0,1,1,1,1,1,1,1,1,0
348665401,1,1,0,0,1,1,1,1,1,1,1,1,0
349168959,1,1,0,0,1,1,1,1,1,1,1,1,0
349672046,1,1,0,0,1,1,1,1,1,1,1,1,0
350176838,1,1,0,0,1,1,1,1,1,1,1,1,0
350678176,1,1,0,0,1,1,1,1,1,1,1,1,0
351179350,1,1,0,0,1,1,1,1,1,1,1,1,0
351685472,1,1,0,0,1,1,1,1,1,1,1,1,0
352186521,1,1,0,0,1,1,1,1,1,1,1,1,0
352687183,1,1,0,0,1,1,1,1,1,1,1,1,0
353190913,1,1,0,0,1,1,1,1,1,1,1,1,0
353693272,1,1,0,0,1,1,1,1,1,1,1,1,0
354195199,1,1,0,0,1,1,1,1,1,1,1,1,0
354696951,1,1,0,0,1,1,1,1,1,1,1,1,0
355198736,1,1,0,0,1,1,1,1,1,1,1,1,0
355702563,1,1,0,0,1,1,1,1,1,1,1,1,0
356205288,1,1,0,0,1,1,1,1,1,1,1,1,0
356708254,1,1,0,0,1,1,1,1,1,1,1,1,0
357211070,1,1,0,0,1,1,1,1,1,1,1,1,0
357715262,1,1,0,0,1,1,1,1,1,1,1,1,0
358222281,1,1,0,0,1,1,1,1,1,1,1,1,0
358723640,1,1,0,0,1,1,1,1,1,1,1,1,0
359225511,1,1,0,0,1,1,1,1,1,1,1,1,0
359727252,1,1,0,0,1,1,1,1,1,1,1,1,0
360231808,1,1,0,0,1,1,1,1,1,1,1,1,0
360734405,1,1,0,0,1,1,1,1,1,1,1,1,0
361244548,1,1,0,0,1,1,1,1,1,1,1,1,0
361658686,1,1,1,0,0,1,1,0,1,1,1,1,0
362162157,1,1,1,0,0,1,1,0,1,1,1,1,0
362663722,1,1,1,0,0,1,1,0,1,1,1,1,0
363165307,1,1,1,0,0,1,1,0,1,1,1,1,0
363667140,1,1,1,0,0,1,1,0,1,1,1,1,0
364170287,1,1,1,0,0,1,1,0,1,1,1,1,0
364672607,1,1,1,0,0,1,1,0,1,1,1,1,0
365174595,1,1,1,0,0,1,1,0,1,1,1,1,0
