timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
274118942,274118344,71315384,38.97361176678716,-76.9219165064937,-2.1244476,1.4762261,0.57438695,0.036267716,-0.014497595,-0.0046971543,-0.031636056,-0.061943524,0.036960658,0.039945,0.00042390026,-0.0013321475,0.0012392444,0.002229121,-0.022741128,0.053624112,0.5330392,-0.2478839,12.486519,0.1,0.24836373,0.17250125,0.13230525,0.08736442,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
274190562,274188785,71315384,38.97361176678716,-76.9219165064937,-2.1293998,1.4723362,0.5718374,0.036267716,-0.014497595,-0.0046971543,-0.031828415,-0.0609878,0.033170976,0.030553797,0.00042390026,-0.0013321475,0.0012392444,0.0039814063,-0.009550853,-0.0066385535,0.5328374,-0.2478839,12.486519,0.1,0.21316537,0.12135492,0.113199115,0.053370185,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
274278249,274273913,71315384,38.97361176678716,-76.9219165064937,-2.1316748,1.4711286,0.5649871,0.036267716,-0.014497595,-0.0046971543,-0.03049936,-0.058729317,0.027256157,0.01548057,0.00042390026,-0.0013321475,0.0012392444,-0.041081306,-0.09825094,0.015632307,0.53252053,-0.2478839,12.486519,0.1,0.19805002,0.10670595,0.10547519,0.043139912,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
274435001,274434427,71315384,38.97361176678716,-76.9219165064937,-2.134912,1.4694796,0.55572623,0.036267716,-0.014497595,-0.0046971543,-0.025731558,-0.05131532,0.017652022,-0.004224719,0.00042390026,-0.0013321475,0.0012392444,0.38452473,0.024577757,-0.2747916,0.5321225,-0.2478839,12.486519,0.1,0.17114675,0.09273945,0.09276763,0.034302343,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
274527729,274527035,71315384,38.97361176678716,-76.9219165064937,-2.1354225,1.4711047,0.5498747,0.036267716,-0.014497595,-0.0046971543,-0.025038697,-0.04562119,0.013298489,-0.012218382,0.00042390026,-0.0013321475,0.0012392444,0.036167655,0.1094523,0.122769766,0.5319759,-0.2478839,12.486519,0.1,0.1554297,0.08530126,0.086490735,0.029925533,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
274598137,274597417,71315384,38.97361176678716,-76.9219165064937,-2.1355546,1.4734505,0.54602456,0.036267716,-0.014497595,-0.0046971543,-0.02183237,-0.042045232,0.008889552,-0.017400278,0.00042390026,-0.0013321475,0.0012392444,0.085439585,-0.03870846,-0.011239357,0.53169763,-0.2478839,12.486519,0.1,0.14523204,0.08133633,0.082224675,0.028683774,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
274693082,274692473,71315384,38.97361176678716,-76.9219165064937,-2.1360805,1.4726987,0.5449563,0.036267716,-0.014497595,-0.0046971543,-0.021491358,-0.03860847,0.007362688,-0.01890677,0.00042390026,-0.0013321475,0.0012392444,-0.40012777,-0.16860291,-0.010329829,0.5317903,-0.2478839,12.486519,0.1,0.14520465,0.08072362,0.08307306,0.029742593,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
274793240,274792496,71315384,38.97361176678716,-76.9219165064937,-2.1363335,1.4735794,0.54364496,0.036267716,-0.014497595,-0.0046971543,-0.015541643,-0.033336952,0.006347813,-0.018777572,0.00042390026,-0.0013321475,0.0012392444,0.31238225,0.1940905,0.14701803,0.53163844,-0.2478839,12.486519,0.1,0.1342515,0.07648349,0.078370534,0.027542848,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
274902018,274901126,71315384,38.97361176678716,-76.9219165064937,-2.1361725,1.4749072,0.5427341,0.036267716,-0.014497595,-0.0046971543,-0.012951825,-0.029200828,0.0053298036,-0.017892301,0.00042390026,-0.0013321475,0.0012392444,-0.028210863,0.30470508,0.39487395,0.5315354,-0.2478839,12.486519,0.1,0.12968908,0.074114725,0.0776976,0.027051555,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
275001906,275001161,71315384,38.97361176678716,-76.9219165064937,-2.1357844,1.4771646,0.5421211,0.036267716,-0.014497595,-0.0046971543,-0.010446085,-0.024324683,0.0036063634,-0.017241687,0.00042390026,-0.0013321475,0.0012392444,0.007930501,-0.034265835,0.24057646,0.53141457,-0.2478839,12.486519,0.1,0.12435769,0.07184844,0.07608136,0.026734656,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
275086891,275086323,71315384,38.97361176678716,-76.9219165064937,-2.135189,1.4792179,0.5418127,0.036267716,-0.014497595,-0.0046971543,-0.0073538157,-0.019537663,0.0027123517,-0.016099587,0.00042390026,-0.0013321475,0.0012392444,-0.016436772,0.12251523,0.061471835,0.53127027,-0.2478839,12.486519,0.1,0.12289978,0.070687525,0.07687339,0.02736267,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
275203200,275202388,71315384,38.97361176678716,-76.9219165064937,-2.134386,1.4817467,0.5415484,0.036267716,-0.014497595,-0.0046971543,-0.003498515,-0.014133331,-0.00044749366,-0.017040828,0.00042390026,-0.0013321475,0.0012392444,0.0822249,0.06806701,2.3365503e-05,0.5312301,-0.2478839,12.486519,0.1,0.11715771,0.068121776,0.074596435,0.026620984,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
275293142,275292565,71315384,38.97361176678716,-76.9219165064937,-2.1336892,1.4838612,0.54132086,0.036267716,-0.014497595,-0.0046971543,-0.0023914229,-0.007551732,-0.002032961,-0.017055625,0.00042390026,-0.0013321475,0.0012392444,0.27592164,0.44915402,-0.093353376,0.53106034,-0.2478839,12.486519,0.1,0.11624316,0.06717751,0.07557434,0.027262483,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
275390871,275390045,71315384,38.97361176678716,-76.9219165064937,-2.132811,1.4868265,0.5408529,0.036267716,-0.014497595,-0.0046971543,-0.0009270192,-0.0049270163,-0.0009525465,-0.014065993,0.00042390026,-0.0013321475,0.0012392444,0.26882815,-0.24639156,0.71370995,0.5311187,-0.2478839,12.486519,0.1,0.11142135,0.06497132,0.073761486,0.026351634,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
275515413,275509817,71315384,38.97361176678716,-76.9219165064937,-2.1317472,1.4895309,0.54045725,0.036267716,-0.014497595,-0.0046971543,0.0016715915,0.00028020417,-0.0076955147,-0.019101974,0.00042390026,-0.0013321475,0.0012392444,-0.5484876,-0.19472964,-1.1074405,0.5309293,-0.2478839,12.486519,0.1,0.110039435,0.0636986,0.074464485,0.026766857,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
275624018,275619739,71315384,38.97361176678716,-76.9219165064937,-2.1311224,1.4918852,0.53992254,0.036267716,-0.014497595,-0.0046971543,0.008874759,-0.0004128453,-0.0060875453,-0.015712723,0.00042390026,-0.0013321475,0.0012392444,1.0230614,0.7017616,0.20481312,0.53081787,-0.2478839,12.486519,0.1,0.10803439,0.062419508,0.07468065,0.027238734,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
275704208,275698697,71315384,38.97361176678716,-76.9219165064937,-2.130608,1.4933362,0.5396996,0.036267716,-0.014497595,-0.0046971543,0.006713217,0.0026695535,-0.006572755,-0.014973375,0.00042390026,-0.0013321475,0.0012392444,0.80698776,-0.7789061,0.010199875,0.5308593,-0.2478839,12.486519,0.1,0.10645448,0.06124139,0.074655816,0.027048463,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
275799404,275797487,71315384,38.97361176678716,-76.9219165064937,-2.130263,1.4943602,0.53957045,0.036267716,-0.014497595,-0.0046971543,0.003756768,0.007980954,-0.006095159,-0.013443818,0.00042390026,-0.0013321475,0.0012392444,-0.6540975,0.08999536,-0.5322459,0.5307198,-0.2478839,12.486519,0.1,0.104460366,0.060100216,0.07360428,0.02705412,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
275888410,275887621,71315384,38.97361176678716,-76.9219165064937,-2.129984,1.4950892,0.53969413,0.036267716,-0.014497595,-0.0046971543,0.0061951643,0.009530295,0.0021827326,-0.0042439494,0.00042390026,-0.0013321475,0.0012392444,0.14463425,0.3866477,0.96684736,0.53054607,-0.2478839,12.486519,0.1,0.10455347,0.059532676,0.07462482,0.02766112,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
275981093,275980267,71315384,38.97361176678716,-76.9219165064937,-2.1303647,1.4951419,0.5399282,0.036267716,-0.014497595,-0.0046971543,0.012971811,-0.0016386171,-0.004763983,-0.009919809,0.00042390026,-0.0013321475,0.0012392444,1.3553469,-1.442034,-0.4276957,0.53062165,-0.2478839,12.486519,0.1,0.10149781,0.05806044,0.072785705,0.02661436,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276156217,276154302,71315384,38.97361176678716,-76.9219165064937,-2.13028,1.4948355,0.54052615,0.036267716,-0.014497595,-0.0046971543,0.010033414,0.011992742,0.00082735455,-0.0031400118,0.00042390026,-0.0013321475,0.0012392444,-0.031504985,0.16378367,-0.24553809,0.5304837,-0.2478839,12.486519,0.1,0.10233207,0.05740406,0.074975625,0.027876405,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276227828,276227169,71315384,38.97361176678716,-76.9219165064937,-2.132157,1.4919837,0.541244,0.036267716,-0.014497595,-0.0046971543,0.008904117,0.007067551,0.0018362282,-0.0008755905,0.00042390026,-0.0013321475,0.0012392444,0.23177052,0.8558112,0.2982783,0.53028667,-0.2478839,12.486519,0.1,0.098810285,0.055762853,0.07301967,0.026276914,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276341415,276339506,71315384,38.97361176678716,-76.9219165064937,-2.1325107,1.4901872,0.5421813,0.036267716,-0.014497595,-0.0046971543,0.004237904,0.00055873516,0.0024259205,0.00029046257,0.00042390026,-0.0013321475,0.0012392444,-0.39753348,-0.30209395,-0.09694969,0.5301485,-0.2478839,12.486519,0.1,0.10052297,0.055540584,0.07462126,0.027968327,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276432885,276432096,71315384,38.97361176678716,-76.9219165064937,-2.1341717,1.4874501,0.5432057,0.036267716,-0.014497595,-0.0046971543,0.009797113,0.008175517,0.00817291,0.006548303,0.00042390026,-0.0013321475,0.0012392444,0.26266414,0.36804506,0.11567866,0.5300306,-0.2478839,12.486519,0.1,0.09885886,0.054480895,0.073588304,0.027122295,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276540102,276539519,71315384,38.97361176678716,-76.9219165064937,-2.1351748,1.485277,0.5443141,0.036267716,-0.014497595,-0.0046971543,0.0092456,0.0023568512,0.01069232,0.009274533,0.00042390026,-0.0013321475,0.0012392444,0.80207014,1.9004074,1.5010458,0.5298762,-0.2478839,12.486519,0.1,0.09992738,0.050390236,0.074682504,0.028265808,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276646291,276644434,71315384,38.97361176678716,-76.9219165064937,-2.137471,1.4821794,0.5456858,0.036267716,-0.014497595,-0.0046971543,0.004067347,-0.0015549174,0.008256377,0.0070762457,0.00042390026,-0.0013321475,0.0012392444,0.21532312,-0.022822533,-0.54809505,0.52970237,-0.2478839,12.486519,0.1,0.09978007,0.038328864,0.07465637,0.02777793,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276741643,276740767,71315384,38.97361176678716,-76.9219165064937,-2.1387296,1.4800739,0.54658103,0.036267716,-0.014497595,-0.0046971543,0.004034079,-0.0010777194,0.0065027964,0.0052696727,0.00042390026,-0.0013321475,0.0012392444,-0.11609853,0.22837387,-0.3177067,0.5295336,-0.2478839,12.486519,0.1,0.10026859,0.033236362,0.07512384,0.028183773,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
