timestamp,armed_time,takeoff_time,nav_state_timestamp,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,avoidance_system_required,avoidance_system_valid,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
267867257,0,0,12920629,0,1,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
274243620,274243408,0,12920629,0,2,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
274753624,274243408,0,12920629,0,2,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
275254895,274243408,0,12920629,0,2,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
275757736,274243408,0,12920629,0,2,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
276262951,274243408,0,12920629,0,2,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
276763370,274243408,0,12920629,0,2,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
277272978,274243408,0,12920629,0,2,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
277774750,274243408,0,12920629,0,2,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
278277123,274243408,0,12920629,0,2,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
278777826,274243408,0,12920629,0,2,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
279279513,274243408,0,12920629,0,2,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
279783024,274243408,0,12920629,0,2,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
280285523,274243408,0,12920629,0,2,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
